At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
0,13,0,0,0,0
13,25,1,1,1,1
25,50,2,2,2,2
50,100,3,3,3,3
100,150,5,5,5,5
150,200,7,7,7,7
200,250,9,9,9,9
250,300,11,11,11,11
300,350,13,13,13,13
350,400,15,15,15,15
400,450,17,17,17,17
450,500,19,19,19,19
500,550,21,21,21,21
550,600,23,23,23,23
600,650,25,25,25,25
650,700,27,27,27,27
700,750,29,29,29,29
750,800,31,31,31,31
800,850,33,33,33,33
850,900,35,35,35,35
900,950,37,37,37,37
950,1000,39,39,39,39
1000,1050,41,41,41,41
1050,1100,43,43,43,43
1100,1150,45,45,45,45
1150,1200,47,47,47,47
1200,1250,49,49,49,49
1250,1300,51,51,51,51
1300,1350,53,53,53,53
1350,1400,55,55,55,55
1400,1450,57,57,57,57
1450,1500,59,59,59,59
1500,1550,61,61,61,61
1550,1600,63,63,63,63
1600,1650,65,65,65,65
1650,1700,67,67,67,67
1700,1750,69,69,69,69
1750,1800,71,71,71,71
1800,1850,73,73,73,73
1850,1900,75,75,75,75
1900,1950,77,77,77,77
1950,2000,79,79,79,79
2000,2050,81,81,81,81
2050,2100,83,83,83,83
2100,2150,85,85,85,85
2150,2200,87,87,87,87
2200,2250,89,89,89,89
2250,2300,91,91,91,91
2300,2350,93,93,93,93
2350,2400,95,95,95,95
2400,2450,97,97,97,97
2450,2500,99,99,99,99
2500,2550,101,101,101,101
2550,2600,103,103,103,103
2600,2650,105,105,105,105
2650,2700,107,107,107,107
2700,2750,109,109,109,109
2750,2800,111,111,111,111
2800,2850,113,113,113,113
2850,2900,115,115,115,115
2900,2950,117,117,117,117
2950,3000,119,119,119,119
3000,3050,121,121,121,121
3050,3100,123,123,123,123
3100,3150,125,125,125,125
3150,3200,127,127,127,127
3200,3250,129,129,129,129
3250,3300,131,131,131,131
3300,3350,133,133,133,133
3350,3400,135,135,135,135
3400,3450,137,137,137,137
3450,3500,139,139,139,139
3500,3550,141,141,141,141
3550,3600,143,143,143,143
3600,3650,145,145,145,145
3650,3700,147,147,147,147
3700,3750,149,149,149,149
3750,3800,151,151,151,151
3800,3850,153,153,153,153
3850,3900,155,155,155,155
3900,3950,157,157,157,157
3950,4000,159,159,159,159
4000,4050,161,161,161,161
4050,4100,163,163,163,163
4100,4150,165,165,165,165
4150,4200,167,167,167,167
4200,4250,169,169,169,169
4250,4300,171,171,171,171
4300,4350,173,173,173,173
4350,4400,175,175,175,175
4400,4450,177,177,177,177
4450,4500,179,179,179,179
4500,4550,181,181,181,181
4550,4600,183,183,183,183
4600,4650,185,185,185,185
4650,4700,187,187,187,187
4700,4750,189,189,189,189
4750,4800,191,191,191,191
4800,4850,193,193,193,193
4850,4900,195,195,195,195
4900,4950,197,197,197,197
4950,5000,199,199,199,199
5000,5050,201,201,201,201
5050,5100,203,203,203,203
5100,5150,205,205,205,205
5150,5200,207,207,207,207
5200,5250,209,209,209,209
5250,5300,211,211,211,211
5300,5350,213,213,213,213
5350,5400,215,215,215,215
5400,5450,217,217,217,217
5450,5500,219,219,219,219
5500,5550,221,221,221,221
5550,5600,223,223,223,223
5600,5650,225,225,225,225
5650,5700,227,227,227,227
5700,5750,229,229,229,229
5750,5800,231,231,231,231
5800,5850,233,233,233,233
5850,5900,235,235,235,235
5900,5950,237,237,237,237
5950,6000,239,239,239,239
6000,6050,241,241,241,241
6050,6100,243,243,243,243
6100,6150,245,245,245,245
6150,6200,247,247,247,247
6200,6250,249,249,249,249
6250,6300,251,251,251,251
6300,6350,253,253,253,253
6350,6400,255,255,255,255
6400,6450,257,257,257,257
6450,6500,259,259,259,259
6500,6550,261,261,261,261
6550,6600,263,263,263,263
6600,6650,265,265,265,265
6650,6700,267,267,267,267
6700,6750,269,269,269,269
6750,6800,271,271,271,271
6800,6850,273,273,273,273
6850,6900,275,275,275,275
6900,6950,277,277,277,277
6950,7000,279,279,279,279
7000,7050,281,281,281,281
7050,7100,283,283,283,283
7100,7150,285,285,285,285
7150,7200,287,287,287,287
7200,7250,289,289,289,289
7250,7300,291,291,291,291
7300,7350,293,293,293,293
7350,7400,295,295,295,295
7400,7450,297,297,297,297
7450,7500,299,299,299,299
7500,7550,301,301,301,301
7550,7600,303,303,303,303
7600,7650,305,305,305,305
7650,7700,307,307,307,307
7700,7750,309,309,309,309
7750,7800,311,311,311,311
7800,7850,313,313,313,313
7850,7900,315,315,315,315
7900,7950,317,317,317,317
7950,8000,319,319,319,319
8000,8050,321,321,321,321
8050,8100,323,323,323,323
8100,8150,325,325,325,325
8150,8200,327,327,327,327
8200,8250,329,329,329,329
8250,8300,331,331,331,331
8300,8350,333,333,333,333
8350,8400,335,335,335,335
8400,8450,337,337,337,337
8450,8500,339,339,339,339
8500,8550,341,341,341,341
8550,8600,343,343,343,343
8600,8650,346,345,345,346
8650,8700,348,347,347,348
8700,8750,350,349,349,350
8750,8800,352,351,351,352
8800,8850,355,353,353,355
8850,8900,357,355,355,357
8900,8950,359,357,357,359
8950,9000,361,359,359,361
9000,9050,364,361,361,364
9050,9100,366,363,363,366
9100,9150,368,365,365,368
9150,9200,370,367,367,370
9200,9250,373,369,369,373
9250,9300,375,371,371,375
9300,9350,377,373,373,377
9350,9400,379,375,375,379
9400,9450,382,377,377,382
9450,9500,384,379,379,384
9500,9550,386,381,381,386
9550,9600,388,383,383,388
9600,9650,391,385,385,391
9650,9700,393,387,387,393
9700,9750,395,389,389,395
9750,9800,397,391,391,397
9800,9850,400,393,393,400
9850,9900,402,395,395,402
9900,9950,404,397,397,404
9950,10000,406,399,399,406
10000,10050,409,401,401,409
10050,10100,411,403,403,411
10100,10150,413,405,405,413
10150,10200,415,407,407,415
10200,10250,418,409,409,418
10250,10300,420,411,411,420
10300,10350,422,413,413,422
10350,10400,424,415,415,424
10400,10450,427,417,417,427
10450,10500,429,419,419,429
10500,10550,431,421,421,431
10550,10600,433,423,423,433
10600,10650,436,425,425,436
10650,10700,438,427,427,438
10700,10750,440,429,429,440
10750,10800,442,431,431,442
10800,10850,445,433,433,445
10850,10900,447,435,435,447
10900,10950,449,437,437,449
10950,11000,451,439,439,451
11000,11050,454,441,441,454
11050,11100,456,443,443,456
11100,11150,458,445,445,458
11150,11200,460,447,447,460
11200,11250,463,449,449,463
11250,11300,465,451,451,465
11300,11350,467,453,453,467
11350,11400,469,455,455,469
11400,11450,472,457,457,472
11450,11500,474,459,459,474
11500,11550,476,461,461,476
11550,11600,478,463,463,478
11600,11650,481,465,465,481
11650,11700,483,467,467,483
11700,11750,485,469,469,485
11750,11800,488,471,471,488
11800,11850,491,473,473,491
11850,11900,493,475,475,493
11900,11950,496,477,477,496
11950,12000,498,479,479,498
12000,12050,501,481,481,501
12050,12100,504,483,483,504
12100,12150,506,485,485,506
12150,12200,509,487,487,509
12200,12250,512,489,489,512
12250,12300,514,491,491,514
12300,12350,517,493,493,517
12350,12400,519,495,495,519
12400,12450,522,497,497,522
12450,12500,525,499,499,525
12500,12550,527,501,501,527
12550,12600,530,503,503,530
12600,12650,533,505,505,533
12650,12700,535,507,507,535
12700,12750,538,509,509,538
12750,12800,540,511,511,540
12800,12850,543,513,513,543
12850,12900,546,515,515,546
12900,12950,548,517,518,548
12950,13000,551,519,520,551
13000,13050,554,521,522,554
13050,13100,556,523,524,556
13100,13150,559,525,527,559
13150,13200,561,527,529,561
13200,13250,564,529,531,564
13250,13300,567,531,533,567
13300,13350,569,533,536,569
13350,13400,572,535,538,572
13400,13450,575,537,540,575
13450,13500,577,539,542,577
13500,13550,580,541,545,580
13550,13600,582,543,547,582
13600,13650,585,545,549,585
13650,13700,588,547,551,588
13700,13750,590,549,554,590
13750,13800,593,551,556,593
13800,13850,596,553,558,596
