At least,But less than,Single,Married filing jointly,Married filing separately,Head of a house hold
0.00,5.00,0.00,0.00,0.00,0.00
5.00,15.00,1.00,1.00,1.00,1.00
15.00,25.00,2.00,2.00,2.00,2.00
25.00,50.00,4.00,4.00,4.00,4.00
50.00,75.00,6.00,6.00,6.00,6.00
75.00,100.00,9.00,9.00,9.00,9.00
100.00,125.00,11.00,11.00,11.00,11.00
125.00,150.00,14.00,14.00,14.00,14.00
150.00,175.00,16.00,16.00,16.00,16.00
175.00,200.00,19.00,19.00,19.00,19.00
200.00,225.00,21.00,21.00,21.00,21.00
225.00,250.00,24.00,24.00,24.00,24.00
250.00,275.00,26.00,26.00,26.00,26.00
275.00,300.00,29.00,29.00,29.00,29.00
300.00,325.00,31.00,31.00,31.00,31.00
325.00,350.00,34.00,34.00,34.00,34.00
350.00,375.00,36.00,36.00,36.00,36.00
375.00,400.00,39.00,39.00,39.00,39.00
400.00,425.00,41.00,41.00,41.00,41.00
425.00,450.00,44.00,44.00,44.00,44.00
450.00,475.00,46.00,46.00,46.00,46.00
475.00,500.00,49.00,49.00,49.00,49.00
500.00,525.00,51.00,51.00,51.00,51.00
525.00,550.00,54.00,54.00,54.00,54.00
550.00,575.00,56.00,56.00,56.00,56.00
575.00,600.00,59.00,59.00,59.00,59.00
600.00,625.00,61.00,61.00,61.00,61.00
625.00,650.00,64.00,64.00,64.00,64.00
650.00,675.00,66.00,66.00,66.00,66.00
675.00,700.00,69.00,69.00,69.00,69.00
700.00,725.00,71.00,71.00,71.00,71.00
725.00,750.00,74.00,74.00,74.00,74.00
750.00,775.00,76.00,76.00,76.00,76.00
775.00,800.00,79.00,79.00,79.00,79.00
800.00,825.00,81.00,81.00,81.00,81.00
825.00,850.00,84.00,84.00,84.00,84.00
850.00,875.00,86.00,86.00,86.00,86.00
875.00,900.00,89.00,89.00,89.00,89.00
900.00,925.00,91.00,91.00,91.00,91.00
925.00,950.00,94.00,94.00,94.00,94.00
950.00,975.00,96.00,96.00,96.00,96.00
975.00,1000.00,99.00,99.00,99.00,99.00
